Title,Artist,Album
The Apparition,Sleep Token,Take Me Back to Eden
Ascensionism,Sleep Token,Take Me Back to Eden
Bad Omens,5 Seconds Of Summer,5SOS5
think later,Tate McRae,THINK LATER
No Shame,5 Seconds Of Summer,CALM
Euclid,Sleep Token,Take Me Back to Eden
Full machine,Gracie Abrams,Good Riddance
No Complaints,Noah Kahan,Stick Season (We'll All Be Here Forever)
This Is What The Drugs Are For,Gracie Abrams,Good Riddance
Vulnerable,Selena Gomez,Rare
SKIN OF MY TEETH,Demi Lovato,SKIN OF MY TEETH
Right Now,Gracie Abrams,Good Riddance
BLENDER,5 Seconds Of Summer,5SOS5
"Your Needs, My Needs",Noah Kahan,Stick Season (We'll All Be Here Forever)
Fast,Demi Lovato,Fast
Chosen 1,Polo G,Die A Legend
New Love,Dua Lipa,Dua Lipa (Deluxe)
Lift Me Up,Christina Aguilera,Bionic
Timebomb,Kylie Minogue,Timebomb
IT girl,Jade,IT girl
FUFN (Fuck You For Now),Jade,FUFN (Fuck You For Now)
honey,Halsey,"If I Can't Have Love, I Want Power - Live Performance Digital Album"
messier,Tate McRae,THINK LATER
NOT FAIR (feat. Corbin),The Kid LAROI,F*CK LOVE
Wait,Dino,Wait
Hate Myself,NF,The Search
Tension,Kylie Minogue,Tension (Deluxe)
Lonely Is the Muse,Halsey,Lonely Is The Muse
Dade County Dreaming (feat. JT & Yung Miami),Camila Cabello,"C,XOXO (Target Exclusive)"
Too Much (feat. Timbaland),Zayn,
Easier than Lying,Halsey,"If I Can't Have Love, I Want Power"
Talking to Yourself,Carly Rae Jepsen,The Loneliest Time
Leaked,Lil Tjay,Leaked - Single
Last Goodbye,Ke$ha,Warrior (Deluxe Version)
June Gloom,Camila Cabello,"C,XOXO (Target Exclusive)"
Change Your Life,Iggy Azalea,The New Classic
calgary,Tate McRae,THINK LATER
Vanity,Christina Aguilera,Bionic
Say Something,Kylie Minogue,Magic
Desnudate,Christina Aguilera,Bionic
B.O.A.T.,Camila Cabello,"C,XOXO (Target Exclusive)"
WHAT JUST HAPPENED,The Kid LAROI,THE FIRST TIME
