Title,Artist,Album
Make It Hot,Major Lazer,
This Is How We Roll,Florida Georgia Line,Here's to the Good Times...This Is How We Roll
Lonely,Imagine Dragons,Mercury - Act 1
"1, 2 Many",Luke Combs,"1, 2 Many"
Intro,Roddy Ricch,Please Excuse Me for Being Antisocial
Shame,Summer Walker,Last Day Of Summer [Explicit]
Rich N***a Shit (feat. Young Thug),21 Savage & Metro Boomin,
iPad,The Chainsmokers,iPad
강남스타일,PSY,싸이6甲 Part.1
4L,21 Savage,i am > i was
JoHn Muir,ScHoolboy Q,Blank Face LP
STREET SWEEPER (feat. Future),Gunna,WUNNA (Deluxe)
Goodness Gracious,Ellie Goulding,Halcyon Days
Light Again!,Lil Nas X,Light Again!
Right Now,PSY,PSYFIVE
Motion,Khalid,Suncity [Explicit]
Human,Ellie Goulding,Bright Lights
YAE ENERGY,Lil Yachty,YAE ENERGY - Single
COUNT ME IN,Lil Yachty,Lil Boat 2
Skyline,Khalid,Skyline
Breathe,Jessie J,Alive
This Plane,Wiz Khalifa,Deal Or No Deal
Sway With Me (with GALXARA),Saweetie,
Hell of a Way to Go,Riley Green,Hell Of A Way To Go - Single
Little Dreams,Ellie Goulding,Bright Lights
Come and Get It,Kip Moore,Wild Ones (Deluxe)
Dustbowl Dance,Mumford & Sons,Live From Red Rocks
I Luv It,PSY,PSY 8th 4X2=8
Georgia Time,Riley Green,Georgia Time
Me and My Kind,Cody Johnson,Cowboy Like Me
Can't Turn You Down,Jon Pardi,California Sunrise
BOY,Charlie Puth,Best of Charlie Puth
X Bitch (Ft. Future),21 Savage & Metro Boomin,
Dive - Recorded at Sound Stage Nashville,Luke Combs,Spotify Singles
"Freeee (Ghost Town, Pt. 2) [feat. Ty Dolla $ign]",KIDS SEE GHOSTS,Kids See Ghosts
a thousand years (lullaby),Christina Perri,a thousand years (lullaby)
Lost in the Middle of Nowhere (feat. Becky G),Kane Brown,Experiment Extended
Girl of the Summer,Kip Moore,Wild Ones (Deluxe)
Bury Me in Dixie,Riley Green,Bury Me in Dixie
There She Goes (feat. Pitbull),Taio Cruz,TY.O (Special Edition) [Special Edition]
X Bitch (feat. Future),21 Savage & Metro Boomin,
The Apparition,Sleep Token,Take Me Back to Eden
Ascensionism,Sleep Token,Take Me Back to Eden
think later,Tate McRae,THINK LATER
Euclid,Sleep Token,Take Me Back to Eden
Full machine,Gracie Abrams,Good Riddance
No Complaints,Noah Kahan,Stick Season (We'll All Be Here Forever)
This Is What The Drugs Are For,Gracie Abrams,Good Riddance
Right Now,Gracie Abrams,Good Riddance
"Your Needs, My Needs",Noah Kahan,Stick Season (We'll All Be Here Forever)
messier,Tate McRae,THINK LATER
NOT FAIR (feat. Corbin),The Kid LAROI,F*CK LOVE
calgary,Tate McRae,THINK LATER
WHAT JUST HAPPENED,The Kid LAROI,THE FIRST TIME
Ch y la Pizza,Fuerza Regida,Ch y la Pizza
I THOUGHT THAT I NEEDED YOU,The Kid LAROI,
From Austin,Zach Bryan,From Austin - Single
Godlight,Noah Kahan,I Was / I Am
Right Now,PARTYNEXTDOOR & Drake,
Igualito a Mi Apá,Fuerza Regida,Pa Que Hablen
Heavy Eyes,Zach Bryan,American Heartbreak
UNA CERVEZA,Fuerza Regida,Pa las Baby's Y Belikeada
Fifth of May,Zach Bryan,The Greatest Day of My Life
F o r C e r t a i n,PARTYNEXTDOOR & Drake,
Internet Sensation,Lil Durk,Hip Hop & Rap - Våren 2021
Flexin',Pop Smoke,Flexin'
Christopher Walking,Pop Smoke,100% Rap
FREAK IN YOU,PARTYNEXTDOOR & Drake,
Cheer Me On,Malcolm Todd,Malcolm Todd
Zip Up My Fly,Malcolm Todd,Malcolm Todd (still) [Explicit]
PTSD,Pop Smoke,"Meet the Woo, v.1 Mixtape"
concrete,Malcolm Todd,Malcolm Todd
Noah,Megan Moroney,Am I Okay?
Bless Your Heart,Megan Moroney,Am I Okay? (I'll Be Fine)
India Part II,Lil Durk,Apple Music Live: Lil Durk
248,Lil Durk,Just Cause Y'all Waited 2
Man on the Moon,Megan Moroney,Am I Okay?
CAIRO,Karol G,CAIRO
Bandida Entrenada,Karol G,Tropicoqueta [Explicit]
GATÚBELA,Karol G,GATÚBELA
bank account (with Lil Uzi Vert),Baby Keem,
Already Best Friends (feat. Chris Brown),Jack Harlow,Thats What They All Say
SOLD OUT,HARDY,SOLD OUT - Single
"You’ll Be Alright, Kid",Alex Warren,Warm & Cozy Acoustic
Young Man's Blues,Parker McCollum,Cream of Country 2021
Certain Kind of Love,Jessie Murph,
On My Mind,Alex Warren,
I Can't Breathe,Parker McCollum,Probably Wrong: Session One
If I Died Last Night,Jessie Murph,drowning
Georgia Peach,Latto,Sugar Honey Iced Tea [Clean] [Clean]
FRANCE FREESTYLE,Baby Keem,DIE FOR MY BITCH
Sobriety,Jessie Murph,Sobriety
Hell of a Year,Parker McCollum,Probably Wrong
"SIGNED, SOBER YOU",HARDY,WHERE TO FIND ME
the mockingbird & THE CROW,HARDY,the mockingbird & THE CROW - Single
ROCKSTAR P,Baby Keem,DIE FOR MY BITCH
Luv Is Dro (feat. Static Major & Bryson Tiller),Jack Harlow,Thats What They All Say
GHOST,Jack Harlow,Confetti
Patek,Future & Lil Uzi Vert,Pluto x Baby Pluto (Deluxe)
Run It,Jelly Roll,Run It
